id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
7475327,2010-01-01 00:01:00,1556,2972,$-77.00,Swipe Transaction,59935,Beulah,ND,58523.0,5499,
7475328,2010-01-01 00:02:00,561,4575,$14.57,Swipe Transaction,67570,Bettendorf,IA,52722.0,5311,
7475329,2010-01-01 00:02:00,1129,102,$80.00,Swipe Transaction,27092,Vista,CA,92084.0,4829,
7475331,2010-01-01 00:05:00,430,2860,$200.00,Swipe Transaction,27092,Crown Point,IN,46307.0,4829,
7475332,2010-01-01 00:06:00,848,3915,$46.41,Swipe Transaction,13051,Harwood,MD,20776.0,5813,
7475333,2010-01-01 00:07:00,1807,165,$4.81,Swipe Transaction,20519,Bronx,NY,10464.0,5942,
7475334,2010-01-01 00:09:00,1556,2972,$77.00,Swipe Transaction,59935,Beulah,ND,58523.0,5499,
7475335,2010-01-01 00:14:00,1684,2140,$26.46,Online Transaction,39021,ONLINE,,,4784,
7475336,2010-01-01 00:21:00,335,5131,$261.58,Online Transaction,50292,ONLINE,,,7801,
7475337,2010-01-01 00:21:00,351,1112,$10.74,Swipe Transaction,3864,Flushing,NY,11355.0,5813,
7475338,2010-01-01 00:23:00,554,3912,$3.51,Swipe Transaction,67570,Pearland,TX,77581.0,5311,
7475339,2010-01-01 00:23:00,605,5061,$2.58,Swipe Transaction,75781,Brooklyn,NY,11210.0,5411,
7475340,2010-01-01 00:26:00,1556,2972,$39.63,Swipe Transaction,59935,Beulah,ND,58523.0,5499,
7475341,2010-01-01 00:27:00,1797,1127,$43.33,Swipe Transaction,33326,Kahului,HI,96732.0,4121,
7475342,2010-01-01 00:30:00,114,3398,$49.42,Swipe Transaction,61195,North Hollywood,CA,91606.0,5541,
7475343,2010-01-01 00:31:00,1634,2464,$1.09,Swipe Transaction,20519,San Benito,TX,78586.0,5942,
7475344,2010-01-01 00:32:00,646,2093,$73.79,Swipe Transaction,1636,Erie,PA,16511.0,7538,
7475345,2010-01-01 00:32:00,1129,5492,$100.00,Swipe Transaction,27092,Vista,CA,92084.0,4829,
7475346,2010-01-01 00:34:00,394,4717,$26.04,Online Transaction,39021,ONLINE,,,4784,
7475347,2010-01-01 00:36:00,114,3398,$-64.00,Swipe Transaction,61195,North Hollywood,CA,91606.0,5541,
7475348,2010-01-01 00:36:00,1376,2182,$54.27,Swipe Transaction,88945,Cedar Park,TX,78613.0,5813,
7475349,2010-01-01 00:37:00,1682,238,$20.74,Swipe Transaction,21586,Grand Forks,ND,58201.0,5411,
7475350,2010-01-01 00:38:00,114,3398,$64.00,Swipe Transaction,61195,North Hollywood,CA,91606.0,5541,
7475351,2010-01-01 00:38:00,121,5952,$57.54,Swipe Transaction,11901,Menasha,WI,54952.0,5300,
7475353,2010-01-01 00:43:00,301,3742,$10.17,Online Transaction,39021,ONLINE,,,4784,
7475354,2010-01-01 00:43:00,1755,4228,$12.01,Swipe Transaction,28666,Cordele,GA,31015.0,5921,
7475356,2010-01-01 00:45:00,566,3439,$16.86,Online Transaction,16798,ONLINE,,,4121,
7475357,2010-01-01 00:46:00,379,3881,$4.64,Swipe Transaction,50783,Mobile,AL,36695.0,5411,
7475358,2010-01-01 00:48:00,401,3004,$669.88,Swipe Transaction,68977,West Covina,CA,91791.0,3174,
7475359,2010-01-01 00:48:00,1127,3869,$22.57,Online Transaction,39021,ONLINE,,,4784,
7475360,2010-01-01 00:49:00,652,4293,$2.40,Swipe Transaction,74624,East Hartford,CT,6108.0,5411,
7475361,2010-01-01 00:53:00,1963,3317,$40.35,Swipe Transaction,69972,Vacaville,CA,95687.0,5814,
7475362,2010-01-01 00:56:00,1357,4488,$14.57,Swipe Transaction,78632,Tacoma,WA,98404.0,5921,
7475363,2010-01-01 00:57:00,285,3442,$7.80,Swipe Transaction,81536,Watsonville,CA,95076.0,5310,
7475364,2010-01-01 00:57:00,1201,16,$2.95,Swipe Transaction,61195,Woburn,MA,1801.0,5541,
7475365,2010-01-01 01:01:00,820,127,$270.22,Online Transaction,73186,ONLINE,,,4814,
7475366,2010-01-01 01:03:00,1703,2969,$78.00,Swipe Transaction,43293,Grand Junction,CO,81506.0,5499,
7475367,2010-01-01 01:06:00,1758,4686,$87.09,Online Transaction,17976,ONLINE,,,4900,
7475368,2010-01-01 01:07:00,414,2815,$148.39,Swipe Transaction,5258,Morristown,NJ,7960.0,4900,
7475370,2010-01-01 01:07:00,1963,3364,$48.12,Swipe Transaction,88646,Vacaville,CA,95688.0,5812,
7475371,2010-01-01 01:08:00,561,3764,$7.75,Swipe Transaction,86977,Burlington,IA,52601.0,5813,
7475372,2010-01-01 01:11:00,566,5577,$14.66,Online Transaction,16798,ONLINE,,,4121,
7475373,2010-01-01 01:11:00,1642,4281,$3.96,Swipe Transaction,44625,Manasquan,NJ,8736.0,5812,
7475374,2010-01-01 01:13:00,1684,94,$12.67,Online Transaction,39021,ONLINE,,,4784,
7475376,2010-01-01 01:19:00,989,2511,$580.98,Swipe Transaction,73661,Thackerville,OK,73459.0,7995,
7475377,2010-01-01 01:19:00,1519,2452,$10.34,Swipe Transaction,12399,Laurel,MT,59044.0,5813,
7475378,2010-01-01 01:19:00,1575,2112,$17.14,Swipe Transaction,29232,Osprey,FL,34229.0,4121,
7475379,2010-01-01 01:22:00,986,4755,$1.85,Swipe Transaction,14528,Garden City,NY,11530.0,5499,
7475380,2010-01-01 01:23:00,1703,2969,$71.72,Swipe Transaction,43293,Grand Junction,CO,81506.0,5499,
7475381,2010-01-01 01:25:00,430,5768,$200.00,Swipe Transaction,27092,Crown Point,IN,46307.0,4829,
7475382,2010-01-01 01:25:00,1703,2969,$-78.00,Swipe Transaction,43293,Grand Junction,CO,81506.0,5499,
7475383,2010-01-01 01:30:00,1357,65,$23.08,Swipe Transaction,80797,Tacoma,WA,98404.0,5813,
7475385,2010-01-01 01:37:00,1484,2527,$40.00,Swipe Transaction,27092,Pinetop,AZ,85935.0,4829,
7475388,2010-01-01 01:40:00,1077,2539,$2.43,Swipe Transaction,46284,Ukiah,CA,95482.0,5411,
7475389,2010-01-01 01:40:00,1787,2228,$3.77,Swipe Transaction,20519,Lexington,KY,40515.0,5942,
7475390,2010-01-01 01:41:00,247,4155,$3.29,Swipe Transaction,92883,Lake Charles,LA,70605.0,5812,
7475391,2010-01-01 01:41:00,1087,1029,$62.98,Online Transaction,17976,ONLINE,,,4900,
7475394,2010-01-01 01:46:00,1575,224,$34.34,Online Transaction,16798,ONLINE,,,4121,
7475395,2010-01-01 01:47:00,1731,2797,$73.46,Swipe Transaction,18293,Fontana,CA,92336.0,7995,
7475396,2010-01-01 01:48:00,125,2023,$9.16,Swipe Transaction,23462,Modesto,CA,95351.0,5813,
7475397,2010-01-01 01:48:00,989,4124,$541.29,Swipe Transaction,40475,Arlington Heights,IL,60005.0,7802,
7475398,2010-01-01 01:53:00,63,60,$30.69,Swipe Transaction,32175,Newark,NJ,7104.0,7538,
7475399,2010-01-01 01:54:00,152,2848,$177.41,Swipe Transaction,86616,Muscle Shoals,AL,35661.0,4814,
7475400,2010-01-01 01:54:00,597,4540,$14.20,Swipe Transaction,66541,San Francisco,CA,94131.0,5300,
7475401,2010-01-01 01:54:00,1449,241,$119.23,Online Transaction,87530,ONLINE,,,4900,
7475402,2010-01-01 01:55:00,1755,4228,$10.61,Swipe Transaction,82981,Dublin,GA,31021.0,5912,
7475403,2010-01-01 01:56:00,760,5876,$52.98,Online Transaction,39021,ONLINE,,,4784,
7475404,2010-01-01 01:56:00,1642,4281,$3.35,Swipe Transaction,44625,Manasquan,NJ,8736.0,5812,
7475406,2010-01-01 01:58:00,1542,2906,$39.05,Swipe Transaction,58215,Cleveland,OH,44118.0,5813,
7475407,2010-01-01 02:00:00,727,4295,$6.79,Swipe Transaction,72351,Saint Louis,MO,63112.0,5541,
7475410,2010-01-01 02:05:00,1097,4690,$100.00,Swipe Transaction,27092,Grand Rapids,MI,49548.0,4829,
7475411,2010-01-01 02:05:00,1453,1117,$196.22,Swipe Transaction,5009,Middletown,NY,10940.0,7011,
7475412,2010-01-01 02:06:00,1024,1006,$3.83,Swipe Transaction,2177,Colwich,KS,67030.0,5411,
7475413,2010-01-01 02:07:00,858,13,$1.87,Swipe Transaction,81833,Gonzales,TX,78629.0,5912,
7475414,2010-01-01 02:08:00,1084,3454,$6.63,Swipe Transaction,45926,Tacoma,WA,98403.0,5814,
7475415,2010-01-01 02:08:00,1622,2877,$8.30,Swipe Transaction,43293,Canton,MA,2021.0,5499,
7475416,2010-01-01 02:09:00,1787,2228,$2.75,Swipe Transaction,75781,Lexington,KY,40509.0,5411,
7475417,2010-01-01 02:11:00,34,1166,$4.07,Swipe Transaction,49789,Sacramento,CA,95829.0,5541,
7475419,2010-01-01 02:12:00,1424,4710,$2.31,Swipe Transaction,95811,Seligman,AZ,86337.0,5411,
7475420,2010-01-01 02:13:00,121,5952,$0.21,Swipe Transaction,61195,Menasha,WI,54952.0,5541,
7475421,2010-01-01 02:13:00,989,2938,$396.03,Swipe Transaction,73661,Thackerville,OK,73459.0,7995,
7475422,2010-01-01 02:13:00,1453,1117,$-460.00,Swipe Transaction,5009,Middletown,NY,10940.0,7011,
7475423,2010-01-01 02:14:00,474,2493,$91.02,Swipe Transaction,35451,Williston Park,NY,11596.0,5812,
7475424,2010-01-01 02:15:00,1142,4674,$3.68,Swipe Transaction,59397,Cohasset,MA,2025.0,5812,
7475425,2010-01-01 02:16:00,241,58,$38.11,Online Transaction,17976,ONLINE,,,4900,
7475426,2010-01-01 02:17:00,461,5482,$25.97,Swipe Transaction,45389,Canton,MI,48188.0,5813,
7475427,2010-01-01 02:17:00,1776,4938,$66.05,Online Transaction,39021,ONLINE,,,4784,
7475429,2010-01-01 02:22:00,595,4667,$33.02,Swipe Transaction,71416,Bullock,NC,27507.0,4900,
7475430,2010-01-01 02:22:00,972,4166,$103.97,Swipe Transaction,18966,Markesan,WI,53946.0,4900,
7475431,2010-01-01 02:25:00,212,2418,$2.33,Swipe Transaction,61195,Dallas,TX,75227.0,5541,
7475432,2010-01-01 02:25:00,1214,5508,$51.58,Online Transaction,98436,ONLINE,,,5192,
7475434,2010-01-01 02:28:00,178,4261,$57.43,Swipe Transaction,78454,Grain Valley,MO,64029.0,5812,
7475435,2010-01-01 02:31:00,1077,4104,$2.87,Swipe Transaction,61195,Ukiah,CA,95482.0,5541,
7475436,2010-01-01 02:32:00,1155,5784,$27.63,Swipe Transaction,1903,Miami,FL,33127.0,5812,
7475437,2010-01-01 02:33:00,1443,4730,$76.76,Swipe Transaction,59288,Waianae,HI,96792.0,5912,
7475438,2010-01-01 02:35:00,387,4601,$9.10,Swipe Transaction,75936,Amherst,OH,44001.0,5814,
7475439,2010-01-01 02:35:00,1998,2160,$0.75,Swipe Transaction,99312,Burlingame,CA,94010.0,5411,
7475440,2010-01-01 02:39:00,706,4284,$160.00,Swipe Transaction,27092,Boulder Creek,CA,95006.0,4829,
